index,type,metre,text
512,test,J,"""a vyžene ze skalních břehů"""
513,test,J,"""tam nad řekou, jež dole hučí,"""
514,test,J,"""vyroste z mechů, ostřic, vřesu"""
515,test,J,"""až k nebi, kde se oblak bělá –"""
516,test,J,"""ten velký věnec smrčích lesů,"""
517,test,J,"""jež ruka jeho vysázela."""
518,test,J,"""Už budeme my staří v zemi"""
519,test,J,"""a mladý leckdo s námi tlíti,"""
520,test,J,"""a hroby naše budou němy"""
521,test,J,"""a zapomněno naše žití;"""
522,test,J,"""však v jeho lesích časně z rána"""
523,test,J,"""zapějou ptáci v sboru četném,"""
524,test,J,"""na sluku večer zazní rána,"""
525,test,J,"""na srnku, až sem přijde s květnem."""
526,test,J,"""Tu louskat budou veveřice"""
527,test,J,"""a datel dlabat tuhou kůru"""
528,test,J,"""a sojky, občas zakřičíce,"""
529,test,J,"""zalétnou k vrškům stromů vzhůru."""
530,test,J,"""Zašumí vítr ve vrcholích,"""
531,test,J,"""hnou smrky se i štíhlé jedle"""
532,test,J,"""a osení se zvlní v polích"""
533,test,J,"""a louky začeří se vedle."""
534,test,J,"""Pak půjde s ručnicí svou tady"""
535,test,J,"""a kamzičí vous na klobouku"""
536,test,J,"""dýmaje mysliveček mladý,"""
537,test,J,"""sběratel motýlů a brouků,"""
538,test,J,"""a vida zeleň mladé chvůje,"""
539,test,J,"""větvičku čerstvou utrhne si"""
540,test,J,"""a barytonem zanotuje"""
541,test,J,"""tvou píseň: „Zahučaly lesy!“"""
542,test,J,"""Je západ. Barvy, stříbro, zlato"""
543,test,J,"""těch oblak, růže, zámky, hory –"""
544,test,J,"""vše z pohádky jen krátké vzato"""
545,test,J,"""a mizí. Za tmavými bory"""
546,test,J,"""ohňové vzpláli příšerní;"""
547,test,J,"""kde růže byly, dým se valí"""
548,test,J,"""a černé hadry, troudy halí –"""
549,test,J,"""to červánky jsou večerní."""
550,test,J,"""Pták velký přes les kamsi chvátá,"""
551,test,J,"""na rudém nebi mává křídly,"""
552,test,J,"""vstříc jemu mha se žene svátá,"""
553,test,J,"""kam letí nocovat, kde sídlí? –"""
554,test,J,"""Jak tepny puls kraj jezerní"""
555,test,J,"""vlnami šplouná. V loďce tmavé"""
556,test,J,"""kdos vesluje. Kam asi plave?"""
557,test,J,"""Už červánky mrou večerní."""
558,test,J,"""Tvé myšlénky jak putovníci"""
559,test,J,"""silnicí prázdnou kráčí v lese;"""
560,test,J,"""kam jdou, sám sobě nechceš říci."""
561,test,J,"""Jdou mlčky. Cosi v tobě hne se,"""
562,test,J,"""že přeludové nevěrní"""
563,test,J,"""i v růžích jsou i ve požáru,"""
564,test,J,"""a pozdě pochopuješ k stáru,"""
565,test,J,"""co červánky dí večerní."""
566,test,J,"""Co v žití za ruce se vedou,"""
567,test,J,"""z těch jsou dva oni poslední."""
568,test,J,"""Co rok se o prázdninách sjedou"""
569,test,J,"""a tráví spolu něco dní."""
570,test,J,"""Tu kradmo sebe pozorují"""
571,test,J,"""a kradmo soudí druha druh:"""
572,test,J,"""„Nu, Václav ještě jako z chvůjí!“ –"""
573,test,J,"""„Jan ještě drží – ale sluch...“"""
574,test,J,"""A večer, při pivě když kouří,"""
575,test,J,"""se na ledacos vzpomene."""
576,test,J,"""Tu Václav oči pozamhouří:"""
577,test,J,"""„Nu, Jene, ještě jednu! Ne?“"""
578,test,J,"""V obou se mysli povynoří"""
579,test,J,"""ten starý student veselý;"""
580,test,J,"""s ním dávní jejich profesoři"""
581,test,J,"""i druhové, již v hrobech tlí."""
582,test,J,"""Venkovských prázdnin steré chvíle,"""
583,test,J,"""těch při koupání sluncí pal,"""
584,test,J,"""v zahrádkách veských růže bílé,"""
585,test,J,"""těch hudeb jásot, zpěvů žal."""
586,test,J,"""A když se zase rozcházejí,"""
587,test,J,"""jen ruce sobě tisknou již;"""
588,test,J,"""a staví se jaks veseleji"""
589,test,J,"""a krátce řeknou: „Brzo piš!“"""
590,test,J,"""Však srdce obě cítí muku,"""
591,test,J,"""jak dětí dvé, jež pozdní tmou"""
592,test,J,"""držíce pevně v ruce ruku,"""
593,test,J,"""by sebe neztratily, jdou."""
594,test,J,"""Stál svatý Vojtěch v Římě velebném,"""
595,test,J,"""stál před oltářem svatou slouže mši"""
596,test,J,"""a Credo čta; když slova pronesl,"""
597,test,J,"""že Kristus vytrpěl a pohřben byl,"""
598,test,J,"""tu oněměl a tělo ztrnulo,"""
599,test,J,"""jen postava tu stála nehybná."""
600,test,J,"""V té chvíli Bůh ho do Čech přenesl,"""
601,test,J,"""dvě postavy mu dal, dvě osoby:"""
602,test,J,"""ta jedna v Římě stála v kostele,"""
603,test,J,"""ta druhá octnula se v Libici."""
604,test,J,"""Tu stála v pluviále pohřebním"""
605,test,J,"""a kolem řadou bledé ležely"""
606,test,J,"""ve rakvích otevřených mrtvoly;"""
607,test,J,"""mrtvoly bratří, sester krvavé."""
608,test,J,"""Slavníkův starobylý zhuben rod"""
609,test,J,"""i čeleď zavražděna veškera,"""
610,test,J,"""Vršovcův pomstou padli krvavou."""
611,test,J,"""I dal mu rozkaz Hospodinův hlas:"""
612,test,J,"""„Teď pohřbi je!“ A „De profundis“ hned"""
613,test,J,"""„clamavi ad Te“ Vojtěch zbožně pěl"""
614,test,J,"""a plně úřad sluhy božího"""
615,test,J,"""až k „Requiem aeternam“ dozpíval."""
616,test,J,"""Pak rukavičku svleknuv s pravice,"""
617,test,J,"""kříž na čelo a ústa, na prsa"""
618,test,J,"""jim všechněm čině, plakal ze srdce,"""
619,test,J,"""pokoje věčného jim žádaje"""
620,test,J,"""a vstání těla z mrtvých slavného."""
621,test,J,"""A Bůh jej do Říma zas přenesl,"""
622,test,J,"""tam tělo u oltáře hnulo se,"""
623,test,J,"""dál Credo zbožně ústa říkala"""
624,test,J,"""a srdcem plálo: „Resurrexit tertia!“"""
625,test,J,"""Jen rukavička v Čechách zůstala."""
626,test,J,"""A sochaři, když jeho postavu"""
627,test,J,"""ze dřeva tesají neb z mramoru,"""
628,test,J,"""vždy ruku obnaženu nechají,"""
629,test,J,"""jež křížky udělala poslední"""
630,test,J,"""na čelo Slavníkovu plemeni."""
631,test,T,"""Pomiluj nás, Hospodine!"""
632,test,T,"""Před Tvým trůnem hvězdy planou,"""
633,test,T,"""jedna z krve Slavníkovy,"""
634,test,T,"""z těch, co září českou stranou."""
635,test,T,"""Otce, matky, ženy, děti"""
636,test,T,"""přineseme v Tvoje sklady,"""
637,test,T,"""svatý Vojtěch, biskup pražský,"""
638,test,T,"""sešli jej, ať žehná tady."""
639,test,T,"""Ležet budem’ k jeho nohám,"""
640,test,T,"""ruku drží nade všemi,"""
641,test,T,"""po boji a po životě"""
642,test,T,"""bude nám mír v naší zemi!"""
643,test,J,"""Snů nočních kraje okouzlené,"""
644,test,J,"""jeť vašich lesů zeleň zlato,"""
645,test,J,"""jež vroubí bystřin stříbrotoky."""
646,test,J,"""Tu nad plesem se duha klene;"""
647,test,J,"""přelétá ptactvo; kouzlem jato,"""
648,test,J,"""tichounkých písní zpívá sloky."""
649,test,J,"""Snů člun se s plavcem tiše kolíbá,"""
650,test,J,"""bez vesla kolem břehu zahýbá"""
651,test,J,"""a propluv růžnou jitra branou"""
652,test,J,"""se rozplývá jak tichá bublina"""
653,test,J,"""a okny ostré větry vanou"""
654,test,J,"""a s věže bije ranní hodina."""
655,test,J,"""Ó horší snové, snové za dne,"""
656,test,J,"""sny vášní, pudů, snové bdělí!"""
657,test,J,"""Váš člun se vlnobitím zmítá,"""
658,test,J,"""modř nebe do šediva vadne,"""
659,test,J,"""stesk racků sípe ochraptělý,"""
660,test,J,"""blesk s bleskem ve mraku se splítá"""
661,test,J,"""a vichr, žena vlny s přívalem,"""
662,test,J,"""do kostí mrazí. V oku zoufalém"""
663,test,J,"""večerní shasla zář. Bouř výská,"""
664,test,J,"""ječící vlny rvou se pospolu,"""
665,test,J,"""a rozkotav se o skaliska"""
666,test,J,"""na výspu vyhodí člun mrtvolu."""
667,test,J,"""Vždy stranou stál jsem, davu hluk"""
668,test,J,"""jak kalných toků přívaly"""
669,test,J,"""mne děsíval; mne jímaly"""
670,test,J,"""víc lesy, hory, polnic zvuk,"""
671,test,J,"""chaloupky v zápolí,"""
672,test,J,"""růže v jich okolí,"""
673,test,J,"""studánka v údolí."""
674,test,J,"""Když večernice stříbrem plá,"""
675,test,J,"""zasedám ve svou besídku"""
676,test,J,"""a slavím v tichém přípitku,"""
677,test,J,"""co spláchla času vlna zlá."""
678,test,J,"""To květů nemělo,"""
679,test,J,"""to trním bolelo"""
680,test,J,"""a všecko zemřelo."""
681,test,J,"""I památky, jež srdce má,"""
682,test,J,"""pomalu každá umírá,"""
683,test,J,"""branka se za vším zavírá"""
684,test,J,"""a život můj se dokoná"""
685,test,J,"""jak píseň večerní"""
686,test,J,"""nad vlnou jezerní"""
687,test,J,"""za mříží klášterní."""
688,test,J,"""Snad ani nevíte, co bolívá,"""
689,test,J,"""že poslal jste mi kytku tu."""
690,test,J,"""Jeť vaše péče příliš horlivá"""
691,test,J,"""o srdce mého zármutu."""
692,test,J,"""Proč peklo srdci mému strojené"""
693,test,J,"""ozdobit mají pomněnky?"""
694,test,J,"""Vždyť muka ta se nezapomene"""
695,test,J,"""a modré v něm jsou plaménky."""
696,test,J,"""Zač peklo v čistoty mé úběle,"""
697,test,J,"""jejž ani skvrna nekalí?"""
698,test,J,"""Já nepadla jsem jako andělé,"""
699,test,J,"""již aspoň nebe mívali!"""
700,test,J,"""Což nečetl jste mezi řádky,"""
701,test,J,"""co sama ani říci nesmím;"""
702,test,J,"""teď sypu růži v psaní toto,"""
703,test,J,"""a rozumíte slovům dnes mým?"""
704,test,J,"""Zda slepec zlata nespatřivší"""
705,test,J,"""penízů pozná tíhy, ceny,"""
706,test,J,"""jež vložila jste v jeho ruku? –"""
707,test,J,"""Jsem vaší krásou oslepený."""
708,test,J,"""Rozsela jarní krásu noc,"""
709,test,J,"""z rána ji ptáci vítali;"""
710,test,J,"""pasáček přišel na pomoc"""
711,test,J,"""s radostným zvukem píšťaly,"""
712,test,J,"""tam pod stromem."""
713,test,J,"""A kolkolem"""
714,test,J,"""stál skot, jejž dneska vyhnali."""
715,test,J,"""Já mladík k písním hotový"""
716,test,J,"""jda tudy pěl jsem mimodík,"""
717,test,J,"""a v dálce šedý kostelík"""
718,test,J,"""v kvetoucím kryl se višňoví."""
719,test,J,"""Po letech zas – byl letní den,"""
720,test,J,"""klas v poli jako zlato zrál,"""
721,test,J,"""po mezích táhnul růží sen; –"""
722,test,J,"""já s mladou ženou svou jsem stál"""
723,test,J,"""tam pod stromem."""
724,test,J,"""Kraj kolkolem"""
725,test,J,"""na naše dítka dvě se smál."""
726,test,J,"""Pak zpíval ptáček ve chvojí,"""
727,test,J,"""ni ratolest se nehnula."""
728,test,J,"""V kočárku děcka usnula,"""
729,test,J,"""my přikryli je závoji."""
730,test,J,"""A po letech – už bělel vlas –"""
731,test,J,"""už lov jen radost jediná,"""
732,test,J,"""tam na horách v podzimní čas."""
733,test,J,"""Jak mnohá milá hodina"""
734,test,J,"""tam pod stromem,"""
735,test,J,"""kdy kolkolem"""
736,test,J,"""lovecká sedla družina!"""
737,test,J,"""Když hajný můj si pozalhal,"""
738,test,J,"""můj Hektor, dobrý stavěcí,"""
739,test,J,"""přemýšlel jaksi o věci"""
740,test,J,"""a stranou na mne zamžoural."""
741,test,J,"""Kde všecko jest? Už šedá skráň"""
742,test,J,"""a chodívám jen o holi,"""
743,test,J,"""mé oko ještě těká v stráň"""
744,test,J,"""a v les a bloudí po poli."""
745,test,J,"""Tam pod stromem"""
746,test,J,"""a kolkolem"""
747,test,J,"""teď větry v sněhu zápolí."""
748,test,J,"""A když teď v loži posedám"""
749,test,J,"""za noci jasné, měsíčné,"""
750,test,J,"""jdou srdcem stesky rozličné"""
751,test,J,"""a hodiny už počítám."""
752,test,J,"""Na stráni povětrno nad městečkem,"""
753,test,J,"""kde stojí starý kostelík;"""
754,test,J,"""už před stalety po morové ráně"""
755,test,J,"""jej postavili Bohu v dík."""
756,test,J,"""Jen jednou za rok jsou tu služby boží,"""
757,test,J,"""když léto zlatí luh i bor,"""
758,test,J,"""lid v průvodu jde s hudbou, pěje písně,"""
759,test,J,"""sta růží věší na prapor."""
760,test,J,"""A večer před tím zvonků malých dvé tu"""
761,test,J,"""svůj stříbrný pozvedá hlas;"""
762,test,J,"""klekáním zvoní do rozlehlých lesů"""
763,test,J,"""a jásají, že pouť tu zas."""
764,test,J,"""Zde po letech jsem, v otčinu se vrátiv,"""
765,test,J,"""stál nad životem zadumán;"""
766,test,J,"""i můj se chýlil k večeru den vážně,"""
767,test,J,"""bylť doorán můj skoro lán."""
768,test,J,"""Aj! jakby zahrál kdosi v širém poli,"""
769,test,J,"""spustily zvonky hudbu svou,"""
770,test,J,"""leč větřík svěží roznášeje tóny"""
771,test,J,"""jim hudbu kazil svojí hrou."""
772,test,J,"""Hned hlaholí to, jako z předaleka,"""
773,test,J,"""jak poutníkův hlas beze sil;"""
774,test,J,"""hned proniká to vzduchem jako z blízka,"""
775,test,J,"""jak před uchem by zazvonil."""
776,test,J,"""A hned to jásá, veselé jak smíchy,"""
777,test,J,"""hned lká to, jaksi žebroní."""
778,test,J,"""Nu, konečně to jedním chodí krokem,"""
779,test,J,"""jak dítek dvou to píseň zní."""
780,test,J,"""Teď jeden zarazil, jen druhý zvoní,"""
781,test,J,"""a vítr skryl se ve svou sluj;"""
782,test,J,"""to z dvojčat za dvě modlí se jen jedno:"""
783,test,J,"""„Anděle boží, strážce můj!“"""
784,test,J,"""Tvé slovo, řeč tvá budiž skoupá!"""
785,test,J,"""Viz, v moři medusa se houpá,"""
786,test,J,"""tu žlutá, onde fijalová,"""
787,test,J,"""tu modrá v hlubině se schová."""
788,test,J,"""Když vynoří se, vlna chytí"""
789,test,J,"""a vymrští ji v písek na ven –"""
790,test,J,"""tu leží rosol lesku zbaven"""
791,test,J,"""a v žáru slunce hyne žití,"""
792,test,J,"""a lesklá bytost čpí a hnije"""
793,test,J,"""a písek mrtvou brzo kryje."""
794,test,J,"""Tak city, jež v tvé duše hloubi"""
795,test,J,"""si hrajou, lesknou se a snoubí,"""
796,test,J,"""nech žíti v oné blahé tůni;"""
797,test,J,"""když řeč, jež jako vlna běží,"""
798,test,J,"""je vrhne v písek na pobřeží,"""
799,test,J,"""zahynou, shnijí na výsluní."""
800,test,T,"""Nežli Vilém, císař starý,"""
801,test,T,"""opustil ten svět, chtěl tvary"""
802,test,T,"""bytostí těch poznat okem,"""
803,test,T,"""které věda tichým krokem"""
804,test,T,"""kráčíc v hloubku zpytování"""
805,test,T,"""sama žasnouc objevila"""
806,test,T,"""jako chorob, smrti stroje,"""
807,test,T,"""jimž se člověk těžce brání."""
808,test,T,"""Koch tu před císařem stoje"""
809,test,T,"""ukazoval drobnohledem"""
810,test,T,"""souchotin bacilla předem."""
811,test,T,"""Starý císař mdlým zře okem"""
812,test,T,"""podivil se nad živokem."""
813,test,T,"""Bacillus v té vážné chvíli"""
814,test,T,"""představit se honem pílí:"""
815,test,T,"""„Ave Caesar Imperator,"""
816,test,T,"""můj rod ze živého žije,"""
817,test,T,"""barba blanca, triumphator,"""
818,test,T,"""žerem také dynastie.“"""
819,test,T,"""Černá sukna visí v Notredamu,"""
820,test,T,"""katafalk je vztyčen prostřed chrámu,"""
821,test,T,"""Paříž krále Umberta smrt želí."""
822,test,T,"""Den je šedý, ponurý a ztmělý..."""
823,test,T,"""Houfy cizinců kol chrámem chodí,"""
824,test,T,"""obdivují stavbu, půvab lodí,"""
825,test,T,"""francké gotiky vše harmonie."""
826,test,T,"""Do deště se dalo, venku lije."""
827,test,T,"""Nikdo nevychází, zástup stojí,"""
828,test,T,"""mnohý sedne, kdosi z kapsy svojí"""
829,test,T,"""číslo novin vytáh’, dámám kolem"""
830,test,T,"""předčítá, co Margarita bolem"""
831,test,T,"""duše jata nebi vyslovila."""
832,test,T,"""Tvář se mnohá těžce zarmoutila,"""
833,test,T,"""oko mnohé prosí v slzí třpytu:"""
834,test,T,"""Potěš, Bože, vdovu Margaritu!"""
835,test,T,"""U vchodu tam klečí na židlici"""
836,test,T,"""milosrdná sestra bledých lící,"""
837,test,T,"""v rukou míšek drží otevřený"""
838,test,T,"""na almužny pro děti a ženy,"""
839,test,T,"""pro starce a pro vše, co je bídné."""
840,test,T,"""Každý, kdo tu prosebnici shlídne,"""
841,test,T,"""sahá do kapsy a peníz drží."""
842,test,T,"""Přestal déšť, jdou ven a sestra trží,"""
843,test,T,"""mince cvakají a měšec botná,"""
844,test,T,"""sotva stačí ústa přeochotná"""
845,test,T,"""říkat „merci!“ Zní to vděčně v hluku,"""
846,test,T,"""jakby dárci políbila ruku."""
847,test,T,"""Až se dnesky do kláštera vrátí,"""
848,test,T,"""něžně velebná jí řekne máti:"""
849,test,T,"""„Máte štěstí, sestro Margarito!“"""
850,test,T,"""Ach, jak hluboce to štěstí skryto."""
851,test,J,"""Když onen starý pán, jenž z pravěku"""
852,test,J,"""zde jako na ukázku lidem zbyl"""
853,test,J,"""– až hodinka i jemu odbije –;"""
854,test,J,"""když onen pán, jenž jako filosof"""
855,test,J,"""si vážně chodí, očkem mžouraje,"""
856,test,J,"""a rypákem svým, hodným obdivu,"""
857,test,J,"""si klátí, jakby o tom přemýšlel,"""
858,test,J,"""proč tolik theorií na světě,"""
859,test,J,"""jichž dříve zapotřebí nebylo;"""
860,test,J,"""když otec slon se s tygrem pustí v boj,"""
861,test,J,"""– což nikdy nedělá, leč přinucen –:"""
862,test,J,"""tu rypák vzácný zvedne do výšky"""
863,test,J,"""a vztekle zařvav čeká na útok."""
864,test,J,"""Že na rypák se dostat nemůže,"""
865,test,J,"""to tygr ví a vida nezbytí"""
866,test,J,"""v týl slonu skočí; tento jako blesk"""
867,test,J,"""tesákem šelmu lítou stranou odhodí"""
868,test,J,"""a každý nový skok tak odrazí,"""
869,test,J,"""až tygr omámen a omráčen"""
870,test,J,"""se při posledním pádu potácí."""
871,test,J,"""Slon šlápne nohou sloupu podobnou"""
872,test,J,"""mu na tělo, až žebra praskají,"""
873,test,J,"""a oči ve sloup obrácené dí,"""
874,test,J,"""že všemu konec jest a že má dost."""
875,test,J,"""„Holečku, vidíš, jak to dopadlo."""
876,test,J,"""Mí předci válčili už s Římany"""
877,test,J,"""a předchůdcové starší v pravěku"""
878,test,J,"""s jinšími pány v světě chodili,"""
879,test,J,"""již krajů předpotopních velebných"""
880,test,J,"""jak zdobou byli, tak i postrachem."""
881,test,J,"""A jakých bojů tehdá bývalo,"""
882,test,J,"""a jakých rohů, kopyt, tesáků,"""
883,test,J,"""ran jakých za řvů hrozných padalo:"""
884,test,J,"""to arci neví malicherný svět,"""
885,test,J,"""v němž nevidět už těla kloudného,"""
886,test,J,"""v němž pána dělá každý trpaslík."""
887,test,J,"""A na našince odvážit se chce"""
888,test,J,"""takové kočce trochu žíhané!“"""
889,test,J,"""Tak mručel otec slon a rypákem"""
890,test,J,"""si na vše strany klátil rozzloben."""
891,test,J,"""Nuž, račte, mistře slone, dovolit."""
892,test,J,"""Já člověk o slovo se hlásím teď."""
893,test,J,"""Jen nehrajte tak zhurta bandurskou."""
894,test,J,"""Je praček znamenitých v světě dost."""
895,test,J,"""Já povím Vám jen jednu historku,"""
896,test,J,"""jen na příklad a jako z čítanky,"""
897,test,J,"""jak pral se jednou jistý Tegetthoff."""
898,test,J,"""Stál, cigarettu kouře, na lodi,"""
899,test,J,"""jež mlhou hnala hustou ku předu,"""
900,test,J,"""a v pravo, v levo, ač nic nevidět,"""
901,test,J,"""však slyšet bylo lodi ostatní,"""
902,test,J,"""jichž kola duněla a vrčela,"""
903,test,J,"""jak kdyby mrakem supi letěli."""
904,test,J,"""„Persano bude trochu překvapen!“"""
905,test,J,"""Už z mlhy vyrazily. Slunce svit"""
906,test,J,"""švih’ na moře jak vytasený meč"""
907,test,J,"""a před očima loďstvo italské."""
908,test,J,"""„Jen plnou silou v ně!“ dal znamení,"""
909,test,J,"""a lodi obrněné letěly,"""
910,test,J,"""šik lodí nepřátelských rozražen"""
911,test,J,"""a z lodí všechněch pouhá směsice,"""
912,test,J,"""jež objíždějí sebe ve kruhu,"""
913,test,J,"""z děl spousty kulí na se chrlíce,"""
914,test,J,"""že z kouře, jenž vše kolem zahalil,"""
915,test,J,"""se blýskalo, jak z mraků šlehá blesk,"""
916,test,J,"""když celou zatáhne bouř krajinu."""
917,test,J,"""Tam stožár praská, padá přeražen"""
918,test,J,"""a roztrháno sviští lanoví"""
919,test,J,"""vše slepě kolem sebe bičujíc"""
920,test,J,"""a pádem trámů komín ohnutý"""
921,test,J,"""kouř na palubu chrlí smrdutý."""
922,test,J,"""Toť asi hůř, než rypák ukousnout!"""
923,test,J,"""Tam mžikem spatřil Sterneck-Doudlebský,"""
924,test,J,"""jak velký před ním koráb táhne v příč."""
925,test,J,"""„Teď plnou parou v před! – Dost! – Nazpátek!“"""
926,test,J,"""Svou přídu v bok mu bleskem zarazil"""
927,test,J,"""a vyvleknuv se, by tam neuváz’,"""
928,test,J,"""zří, jak se v pravo kloní pyšná loď,"""
929,test,J,"""jak v boku zeje otvor ohromný,"""
930,test,J,"""jímž moře vniká proudem do útrob,"""
931,test,J,"""že přídu tyčíc ještě na posled"""
932,test,J,"""do hlubin klesá mořských na věky;"""
933,test,J,"""s korábem tonouc mužstvo italské"""
934,test,J,"""svůj vypálilo výstřel poslední"""
935,test,J,"""a už je moře s lodi splachuje"""
936,test,J,"""a roznáší jich těla tonoucí,"""
937,test,J,"""jež lodí různých kolo rozmílá,"""
938,test,J,"""že hlavy, údy, těla zdrcená"""
939,test,J,"""vrou na povrch jak vroucích ze zřídel."""
940,test,J,"""To asi víc než tygra rozšlapat!"""
941,test,J,"""Nuž, chápete? Což teprv na zemi,"""
942,test,J,"""když v boji utkají se tisíce"""
943,test,J,"""a vojáci jak hrušky padají,"""
944,test,J,"""z Ibí rozstřelených mozek řine se,"""
945,test,J,"""z těl roztrhaných střeva lezou ven,"""
946,test,J,"""z žil stříká rudá krev jak vodotrysk"""
947,test,J,"""a k tomu hudby hrají pěkný marš"""
948,test,J,"""a děla houkají svůj hromný zpěv:"""
949,test,J,"""tu byste, mistře slone, utíkal"""
950,test,J,"""a celá předpotopní elita,"""
951,test,J,"""jichž kostry vystaveny v musejích,"""
952,test,J,"""by jako myši díry hledala!"""
953,test,J,"""Jste, Blahorodí, jako filolog,"""
954,test,J,"""jenž v starých představách svých zkoprněl"""
955,test,J,"""a na kulturu hledí moderní"""
956,test,J,"""s hlediska, jehož nelze udržet."""
957,test,J,"""Laudator acti temporis, to jest:"""
958,test,J,"""Vy ani nevíte, co pranice."""
959,test,J,"""Náš věk je velmi, velmi daleko,"""
960,test,J,"""náš pokrok všude velmi ohromný,"""
961,test,J,"""duch lidský neunavně pátravý,"""
962,test,J,"""my na pranice máme mašiny!"""
963,test,J,"""V tom rozdíl veliký – ač jedinký"""
964,test,J,"""to vystihl cár Třetí Mikuláš."""
965,test,J,"""Tři svatí sobě vyprosili,"""
966,test,J,"""by směli trochu na svět dolů;"""
967,test,J,"""že prý se jenom poohlednou"""
968,test,J,"""a zase brzo vrátí spolu."""
969,test,J,"""Snesl je anděl. Byli dole."""
970,test,J,"""A stáli v poušti. Moře písku..."""
971,test,J,"""Aj, tamhle cosi pohnulo se,"""
972,test,J,"""tam sedí stařec na skalisku."""
973,test,J,"""Byl lysý, nahý, vráskovitý"""
974,test,J,"""a držel trnitý prut v ruce."""
975,test,J,"""To lidský Osud. Vládne žitím,"""
976,test,J,"""poroučí smrti, zdraví, muce."""
977,test,J,"""Tu první, profesor kdys, praví:"""
978,test,J,"""„Nemějte za zlé, že se táži."""
979,test,J,"""Co den slyšíme stesky, vzdechy"""
980,test,J,"""a tisíc zdviženo je paží,"""
981,test,J,"""a tisíc žalob k nebi táhne,"""
982,test,J,"""že mučíte i malé děcko,"""
983,test,J,"""že nevinného rozsápáte,"""
984,test,J,"""že slepý jste. Je pravda všecko?“"""
985,test,J,"""Však stařec, bradu opřev o dlaň,"""
986,test,J,"""jen mlčel, klátě tiše prutem."""
987,test,J,"""Tu druhý, vojákem jenž býval,"""
988,test,J,"""děl vlídně, v citu bolně hnutém:"""
989,test,J,"""„Snad boží vůle za nástroje"""
990,test,J,"""vám pekelníky přidělila;"""
991,test,J,"""ti hůř snad tropí, než vy chcete,"""
992,test,J,"""že ukrutná tak vaše díla."""
993,test,J,"""I ve válce se kdys tak děje,"""
994,test,J,"""když vojsko při dobytí města"""
995,test,J,"""drancuje, vraždí, pálí, mučí,"""
996,test,J,"""že vůdci oškliví se směs ta.“"""
997,test,J,"""Tu stařec poušklíb’ se trpce"""
998,test,J,"""a mluvil tiše, více k sobě:"""
999,test,J,"""„Beránci moji, tovaryši,"""
1000,test,J,"""vy útěcho má ve starobě,"""
1001,test,J,"""ty smrti pilná bez únavy,"""
1002,test,J,"""vy věčně pracující víly,"""
1003,test,J,"""vy sluzi velebnosti boží,"""
1004,test,J,"""jež zákonův se neuchýlí!"""
1005,test,J,"""Ta luza lidská nestydí se"""
1006,test,J,"""a svatým pokoj nedá v nebi"""
1007,test,J,"""a na vás stěžuje si, na mne."""
1008,test,J,"""Ta má těch žalob zapotřebí!"""
1009,test,J,"""Co tygr neudělá tygru,"""
1010,test,J,"""dělají lidé stále lidem,"""
1011,test,J,"""co zvíře nedovede v zlosti,"""
1012,test,J,"""dělají sobě v smíchu, s klidem."""
1013,test,J,"""A pro vše mají slova krásná"""
1014,test,J,"""a svádějí vše do systému"""
1015,test,J,"""a velebí ten pokrok světa"""
1016,test,J,"""a vraždění se koří svému."""
1017,test,J,"""Když moře bouří, zem se třese"""
1018,test,J,"""a sopka soptí – co tu křiku!"""
1019,test,J,"""Nuž, páni, projděte se Čínou"""
1020,test,J,"""a pohlédněte na Afriku!“"""
1021,test,J,"""Děl první svatý: „Pravdu mluví,"""
1022,test,J,"""zná mnoho historické látky.“"""
1023,test,J,"""A třetí, posud nepromluviv,"""
1024,test,J,"""děl tiše: „Pojďme raděj zpátky!“"""
1025,test,J,"""Byl žebravým kdys řádu mnichem,"""
1026,test,J,"""pokorně řekl: „Naše díky!“"""
1027,test,J,"""Stařičký Osud za ním volá:"""
1028,test,J,"""„Že pozdravuju mučeníky!“"""
1029,test,J,"""Tak dobrý večer! Je tam krásný vzduch!"""
1030,test,J,"""Dost fijal pravých, vonných nesu"""
1031,test,J,"""a petrklíčů, jichž je plný luh."""
1032,test,J,"""Nic se mnou není do těch lesů!"""
1033,test,J,"""Už Dafné, již jsem přinášíval rudou,"""
1034,test,J,"""i bílé sněženky těm mladším zbudou."""
1035,test,J,"""A rozděl, stará, do sklenic to dvou,"""
1036,test,J,"""zvlášť pro každého, mne i tebe."""
1037,test,J,"""Fijalky buďtež modrou oblohou"""
1038,test,J,"""a petrklíče hvězdy nebe."""
1039,test,J,"""Jen nebes barvy svěťtež v tuto dobu,"""
1040,test,J,"""už pučí trávník – připomínka hrobu."""
1041,test,J,"""A podobizny starých druhů snes,"""
1042,test,J,"""ať s nimi v duchu promluvím si,"""
1043,test,J,"""ať zvědí, jak tam venku krásně dnes."""
1044,test,J,"""A onen džbánek podej s římsy,"""
1045,test,J,"""já přípitek ti vznesu dobře známý:"""
1046,test,J,"""„Na zdraví tvé a moje! Pán Bůh s námi!“"""
1047,test,J,"""Všeho se život chytá, jak rez kovu,"""
1048,test,J,"""všade se zahnizďuje jako plíseň;"""
1049,test,J,"""jej vypleješ-li, usadí se v novu"""
1050,test,J,"""a bují víc, kde větší zdá se tíseň;"""
1051,test,J,"""v zem, vodu, vzduch jak jakás kletba vniká."""
